Model,Run,MAE,MSE
short_term_90_days_lstm,1,419.68192571564174,291076.58259781677
short_term_90_days_lstm,2,417.7041241719298,288810.9242055856
short_term_90_days_lstm,3,419.4333310785565,290242.9979994818
short_term_90_days_lstm,4,418.82777969944135,289925.1963127413
short_term_90_days_lstm,5,417.3089510221013,288854.3455459909
long_term_365_days_lstm,1,408.3334348748912,277999.08762104163
long_term_365_days_lstm,2,401.98545917900645,266590.80183041986
long_term_365_days_lstm,3,402.8188289222559,267736.0056864855
long_term_365_days_lstm,4,400.36473020511426,264942.8806668835
long_term_365_days_lstm,5,402.2956575251369,267178.57194853906
short_term_90_days_transformer,1,420.324452638565,291025.5493672163
short_term_90_days_transformer,2,434.99446568126274,310515.71450584603
short_term_90_days_transformer,3,421.79172023269615,292959.2533551145
short_term_90_days_transformer,4,422.6760019174234,294404.0354600022
short_term_90_days_transformer,5,421.53788836654076,292858.3262321133
long_term_365_days_transformer,1,438.23394830680456,312866.50980172143
long_term_365_days_transformer,2,453.79373328273476,334462.19883634814
long_term_365_days_transformer,3,423.9836925268433,292990.5942715602
long_term_365_days_transformer,4,435.6238592644622,308643.04033515655
long_term_365_days_transformer,5,431.4995708521868,304161.363548006
short_term_90_days_autoformer,1,414.8248677836619,296922.908284048
short_term_90_days_autoformer,2,411.4599530601226,287000.5733187216
short_term_90_days_autoformer,3,462.2788375767446,346811.718950957
short_term_90_days_autoformer,4,421.03345121940146,296637.7189170644
short_term_90_days_autoformer,5,410.4144859730662,277603.0434876737
long_term_365_days_autoformer,1,434.87554140010377,307574.4755258257
long_term_365_days_autoformer,2,433.79775724546124,306621.9056922161
long_term_365_days_autoformer,3,431.9942394147239,304234.23872628046
long_term_365_days_autoformer,4,432.2145336720529,304560.7753439404
long_term_365_days_autoformer,5,437.19275333171447,308302.84010682954
